sku|name|description|store_id|department_id|category_id|subcategory_id|price
22067130|Brainboxes ES-571 Brainboxes Es-571 Industrial Isolated Ethernet to Serial + Switch - 1 x Network (R|Brainboxes ES-571 Brand New Includes Lifetime Warranty Product # ES-571 Factory floors can be harsh environments.|2|7|270|18532|$387.95
10686135|Donna Ricco Petite Stretch Satin Shirred Waist Dress|<br>  <li>Sophisticated, elegant evening-style gown is ideal for special occasions  <li>Donna Ricco petite sleeveless charmeuse dress features wrap-style bodice  <li>Sleeveless dress features flattering v-neckline in front and back|7|213|2126|12753|$79.99
18689661|Sylvia Coomes 'Monarch Butterfly' Photography Nature Coasters (Set of 4)|Made of a compressed wood material Printed gloss seal to endure daily use Comes in set of 4 coasters|1|2|1464|6468|$13.19
14960814|Da-Lite Model C Manual Projection Screen - 137" - 16:10 - Wall Mount,|Da-Lite Model C Manual Projection Screen - 137" - 16:10 - Wall Mount, Ceiling Mount|2|214|2180|13009|$506.99
13105001|Snappy Sharkes (Hardcover)|Introduces various kinds of sharks and discusses their food, defenses, and life cycles.|3|9|1408|13654|$25.76
18752927|Oxford Garden Travira 36 inch Square Teak Bar Table|Travira is a lightweight, mixed material collection that combines classic styling with a contemporary appeal. Travira is a great fit in any outdoor space. Whatever the application, Travira is sure to make a bold statement.|1|4|714|2739|$999.00
19226372|Hand-Knotted Oriental Peshawar Ivory Wool Rug (8' 1 X 10' 5)|Give your room a quick refresh with this gorgeous hand-knotted rug. Featuring a beautiful oriental pattern in a delightful ivory color, this rug is sure to complement a variety of design themes.|1|3|244|2693|$2,558.99
13991752|XOVision XTAB Tablet - 7" - 4 GB - Android 2.1 Eclair|XOVision XTAB Tablet - 7" - 4 GB - Android 2.1 Eclair|2|473|20264|24821|$84.99
20290751|Mandara Hand-Woven Contemporary Solid Pattern Shag Rug (9'x9')|Mandara rugs are known for high-quality construction. This Contemporary style rug is hand-woven in India using premium quality Polyester. This thick shag rug features a Solid pattern and available in Beige color.|1|3|244|1020|$617.99
22561787|Poly/Cotton Crew - Royal Blue - M|Fabric laundered, 3.5 oz., 65/35 polyester/combed ringspun cotton, 40 singles Self-fabric collar Satin label|7|26|3410|29427|$20.93
084932|VA-ZOOVENIR - A TRIBUTE TO U2|not_available|3|10|1417|6266|$1.00
19992866|Studio M Womens Knit Shadow Stripe A-Line Skirt|not_available|7|213|2130|12779|$35.99
14987958|Understanding the Nursing Process + Docucare, 6-month Access (Mixed media product)|Description not available.|3|9|1526|6884|$97.47
17689583|Safavieh Artisan Vintage Brown Distressed Area Rug (9' x 12')|Safavieh's Artisan collection is inspired by timeless Transitional designs crafted with the softest cotton available.|1|3|244|608|$405.49
10318865|The Greek Wars|Description not available.|3|9|1527|6893|$52.25
3663649|Kicking Against the Pricks|Description not available.|3|9|2041|11193|$14.00
13601714|Between the Tides (Compact Disc)|Description not available.|3|9|1521|6848|$54.88
19438264|DC/Fresh Moves Short Sleeve Adult T-Shirt 18/1 in Turquoise|DC/FRESH MOVES - S/S ADULT 18/1 - TURQUOISE - SM|7|26|3410|29427|$26.49
